Year,Total_Spills,Top_Company,Spills_By_Top_Company
1999,188,CHEVRON USA ,87
2000,274,HS RESOURCES ,78
2001,203,HS RESOURCES ,39
2002,212,KERR MCGEE OIL & GAS,36
2003,227,KERR MCGEE OIL & GAS,36
2004,227,KERR MCGEE OIL & GAS,43
2005,324,KERR MCGEE OIL & GAS,50
2006,342,CHEVRON USA ,57
2007,333,KERR MCGEE OIL & GAS,52
2008,426,KERR MCGEE OIL & GAS,60
2009,384,KERR MCGEE OIL & GAS,54
2010,497,NOBLE ENERGY,79
2011,526,ENCANA OIL & GAS (USA) ,73
2012,408,NOBLE ENERGY,72
2013,594,NOBLE ENERGY,108
2014,845,NOBLE ENERGY,137
2015,656,KERR MCGEE OIL & GAS,88
2016,535,NOBLE ENERGY,83
2017,618,KERR MCGEE OIL & GAS,98
